34.48,34.48,34.73,34.00
34.62,34.39,34.57,34.39
35.04,34.80,34.97,34.39
34.19,35.30,34.67,34.74
35.48,34.55,35.59,34.68
34.96,35.17,35.37,35.26
34.71,34.87,35.22,34.59
34.88,34.64,34.70,34.64
35.01,35.20,35.20,34.87
35.94,35.24,35.98,35.10
35.37,34.27,35.05,34.60
35.60,35.86,35.47,35.48
35.47,35.48,35.55,35.34
35.41,35.75,35.54,35.36
34.91,36.22,35.53,35.66
34.82,34.98,35.23,34.77
34.63,34.87,35.14,34.49
33.98,35.11,35.09,33.82
34.40,35.03,35.27,34.30
35.22,34.84,35.13,34.81
35.13,34.96,35.19,34.56
35.32,34.65,35.43,34.77
35.46,35.17,35.80,34.88
35.95,35.28,35.53,35.29
35.66,36.00,35.86,35.85
36.31,36.05,36.52,35.90
36.38,36.02,36.03,35.84
35.83,37.12,36.41,36.58
36.59,36.06,36.68,36.18
37.20,36.45,36.99,36.84
36.48,37.02,36.93,36.52
37.21,36.52,37.08,36.98
36.57,37.11,37.00,36.63
37.67,36.83,38.48,36.55
38.20,38.93,37.55,38.11
37.84,37.75,37.98,37.31
37.56,37.77,37.81,37.31
37.65,37.89,38.16,37.70
37.01,37.99,37.96,37.21
37.72,37.58,37.63,37.43
36.73,37.87,37.74,36.93
37.47,36.93,37.39,37.24
37.50,37.16,37.47,37.32
37.60,37.27,37.52,37.24
37.63,37.80,37.78,37.61
38.01,37.34,37.87,37.58
38.09,37.40,37.91,37.71
38.21,37.98,38.19,37.88
38.08,38.16,38.13,37.80
37.91,38.05,38.23,37.63
37.95,38.18,38.05,37.53
38.00,38.02,38.24,37.94
37.82,38.03,38.32,37.55
38.13,37.32,37.64,37.38
37.77,37.36,37.54,37.41
37.31,37.48,37.44,36.86
37.83,37.32,37.57,37.43
37.31,37.32,37.27,36.86
37.39,37.38,37.66,37.17
37.61,36.98,37.66,36.89
37.28,37.22,37.35,36.94
37.35,36.77,37.08,37.00
37.15,37.12,37.40,37.11
37.54,37.21,37.61,36.85
37.28,37.04,37.37,37.15
37.63,36.82,37.61,36.88
37.91,37.26,37.84,37.44
37.57,37.56,37.81,37.26
37.44,38.22,38.09,37.74
37.46,37.25,37.63,37.42
36.66,37.45,37.47,36.59
37.15,37.06,37.38,36.83
37.20,36.73,37.36,36.86
37.56,37.08,37.79,37.12
36.84,37.14,37.05,36.72
36.82,36.90,37.02,36.51
37.35,36.85,37.35,37.01
37.69,36.97,37.77,37.17
37.87,37.53,37.91,37.41
37.84,37.58,38.11,37.53
38.02,37.65,37.97,37.74
37.57,37.92,38.02,37.41
37.68,37.55,38.41,36.95
37.92,39.24,38.19,38.57
37.95,38.06,38.29,37.71
36.79,37.39,37.27,36.79
37.26,37.50,37.71,37.25
37.20,37.15,37.23,36.94
37.18,37.06,37.36,36.87
37.44,37.10,37.67,36.91
37.92,37.70,38.38,37.46
37.97,37.82,38.32,37.77
38.22,37.90,38.26,38.02
37.57,38.31,38.23,37.60
38.97,37.43,38.47,38.03
38.44,38.37,38.98,38.14
39.48,40.53,40.54,39.83
39.08,40.48,39.46,39.64
39.08,40.40,39.37,39.64
38.89,39.59,39.41,38.73
