69.23,68.05,69.20,67.41
69.44,69.12,70.04,68.83
68.49,68.80,68.60,67.23
69.36,69.07,69.50,68.38
69.29,68.48,69.99,68.61
67.51,68.40,68.94,67.47
66.25,68.02,67.71,66.17
64.89,68.88,68.21,65.29
67.89,67.14,69.03,67.21
66.80,67.97,67.69,66.90
68.05,67.77,68.21,67.27
66.36,68.21,68.15,66.10
66.96,66.14,66.13,66.58
66.85,67.71,67.98,66.70
64.25,66.16,66.56,64.34
64.26,65.42,65.02,64.28
63.42,66.17,65.29,63.90
65.96,64.16,65.08,64.94
66.34,66.02,67.55,65.83
65.62,65.13,65.79,65.71
65.50,65.67,65.58,64.29
65.62,65.72,65.97,64.92
64.06,66.34,65.88,64.56
66.08,65.91,66.00,65.23
66.99,65.70,67.78,65.62
67.13,65.94,66.87,66.21
63.79,67.28,67.37,62.79
65.21,64.32,66.12,63.60
65.20,65.87,66.30,65.47
63.08,64.80,65.53,62.18
55.35,58.13,58.26,53.73
55.29,53.87,54.78,54.42
57.19,54.95,55.99,55.22
55.95,56.43,56.70,54.30
54.43,53.95,54.03,54.50
54.50,55.09,55.26,54.00
53.32,54.20,53.77,52.96
52.46,53.94,53.13,53.41
52.73,52.76,52.91,53.03
53.45,52.75,53.17,52.60
52.90,52.91,53.48,52.45
50.42,52.47,51.79,50.76
53.18,52.24,52.40,52.44
53.27,52.82,52.97,52.70
53.97,53.29,53.99,52.36
55.32,54.83,55.77,54.80
55.58,54.68,54.71,54.88
57.38,56.33,57.36,55.95
57.64,57.48,57.80,57.55
56.54,56.50,56.97,55.84
57.04,56.81,57.44,57.11
57.12,56.38,57.17,56.11
57.12,57.17,57.20,56.58
56.94,57.05,57.41,56.53
56.24,56.10,56.73,56.12
56.87,57.44,56.92,56.84
58.02,57.13,58.06,56.94
55.97,57.52,57.55,55.88
56.63,55.82,55.84,56.50
54.95,55.78,56.05,54.71
57.01,56.93,57.08,56.31
57.13,56.94,58.15,56.77
58.52,58.50,58.49,57.96
59.31,59.07,59.48,59.20
58.28,59.70,59.29,58.10
58.89,59.09,59.06,58.62
58.82,58.47,59.12,58.64
58.18,58.18,58.71,58.14
57.85,58.62,58.98,57.97
58.11,57.84,58.45,58.05
56.62,58.60,58.35,56.64
57.59,57.58,57.52,56.66
57.48,57.87,57.96,57.49
57.20,57.80,57.73,56.76
56.48,55.94,56.18,55.76
56.58,56.94,57.49,56.02
57.34,57.51,57.13,57.05
56.40,57.63,57.53,56.54
57.18,57.73,57.97,57.30
55.66,57.06,56.99,55.11
56.86,55.34,56.48,56.46
56.65,55.84,57.10,56.63
56.59,56.08,55.93,55.86
56.11,56.72,56.47,56.25
56.72,56.28,57.02,56.35
54.18,56.21,55.91,53.17
51.43,52.96,52.94,51.52
50.83,51.45,51.96,51.18
51.72,52.88,52.68,51.20
52.87,52.45,53.19,52.47
52.71,52.86,52.56,52.27
51.49,53.11,52.95,49.85
52.29,52.91,52.67,52.26
52.87,52.65,52.45,52.47
53.18,52.21,53.06,53.17
52.83,53.70,53.92,53.08
53.00,53.74,53.96,53.08
54.27,50.36,54.56,49.19
53.46,55.50,53.45,55.14
52.98,53.65,53.75,52.70
